time, location, value, std, type
135.0, 80.0,   7.18343973, 0.10, 1.00
140.0, 20.0,   7.87745846, 0.10, 1.00
140.0, 40.0,   4.58319974, 0.10, 1.00
140.0, 60.0,   4.59519866, 0.10, 1.00
140.0, 80.0,   6.16401297, 0.10, 1.00
145.0, 20.0,   7.20536665, 0.10, 1.00
145.0, 40.0,   3.15115302, 0.10, 1.00
145.0, 60.0,   4.30972927, 0.10, 1.00
145.0, 80.0,   5.87842195, 0.10, 1.00
150.0, 20.0,   7.16040460, 0.10, 1.00
150.0, 40.0,   5.16869215, 0.10, 1.00
150.0, 60.0,   6.63213023, 0.10, 1.00
150.0, 80.0,   6.91702599, 0.10, 1.00
155.0, 20.0,   6.47641042, 0.10, 1.00
155.0, 40.0,   7.55670092, 0.10, 1.00
155.0, 60.0,   6.87037967, 0.10, 1.00
155.0, 80.0,   6.49809417, 0.10, 1.00
160.0, 20.0,   4.67692755, 0.10, 1.00
160.0, 40.0,   7.94092330, 0.10, 1.00
160.0, 60.0,   4.60052762, 0.10, 1.00
160.0, 80.0,   4.43359439, 0.10, 1.00
165.0, 20.0,   4.68700830, 0.10, 1.00
165.0, 40.0,   7.34883153, 0.10, 1.00
165.0, 60.0,   2.93226431, 0.10, 1.00
165.0, 80.0,   4.45943867, 0.10, 1.00
170.0, 20.0,   6.29956461, 0.10, 1.00
170.0, 40.0,   7.16320345, 0.10, 1.00
170.0, 60.0,   4.93275365, 0.10, 1.00
170.0, 80.0,   6.72106116, 0.10, 1.00
175.0, 20.0,   7.21689381, 0.10, 1.00
175.0, 40.0,   6.35107179, 0.10, 1.00
175.0, 60.0,   7.62982285, 0.10, 1.00
175.0, 80.0,   6.96863019, 0.10, 1.00
180.0, 20.0,   6.17815096, 0.10, 1.00
180.0, 40.0,   4.78510304, 0.10, 1.00
180.0, 60.0,   7.99014901, 0.10, 1.00
180.0, 80.0,   4.47197969, 0.10, 1.00
185.0, 20.0,   5.86833527, 0.10, 1.00
185.0, 40.0,   4.71362986, 0.10, 1.00
185.0, 60.0,   7.26799377, 0.10, 1.00
185.0, 80.0,   2.98362347, 0.10, 1.00
190.0, 20.0,   6.81235071, 0.10, 1.00
190.0, 40.0,   6.39565703, 0.10, 1.00
190.0, 60.0,   7.25928224, 0.10, 1.00
190.0, 80.0,   5.08011873, 0.10, 1.00
195.0, 20.0,   6.51142404, 0.10, 1.00
195.0, 40.0,   7.13377166, 0.10, 1.00
195.0, 60.0,   6.29522729, 0.10, 1.00
195.0, 80.0,   7.51852017, 0.10, 1.00
200.0, 20.0,   4.63246780, 0.10, 1.00
200.0, 40.0,   6.23409966, 0.10, 1.00
200.0, 60.0,   4.82523059, 0.10, 1.00
200.0, 80.0,   7.94497826, 0.10, 1.00
