time,index,value,std
0.100000,25.000000,0.044033,0.050000
0.100000,50.000000,0.000000,0.050000
0.100000,75.000000,0.000000,0.050000
0.200000,25.000000,0.117925,0.050000
0.200000,50.000000,0.072801,0.050000
0.200000,75.000000,0.000000,0.050000
0.300000,25.000000,0.166066,0.050000
0.300000,50.000000,0.129540,0.050000
0.300000,75.000000,0.110828,0.050000
0.400000,25.000000,0.156364,0.050000
0.400000,50.000000,0.177748,0.050000
0.400000,75.000000,0.123025,0.050000
0.500000,25.000000,0.055545,0.050000
0.500000,50.000000,0.141009,0.050000
0.500000,75.000000,0.273384,0.050000
0.600000,25.000000,0.038315,0.050000
0.600000,50.000000,0.155835,0.050000
0.600000,75.000000,0.224335,0.050000
0.700000,25.000000,-0.084402,0.050000
0.700000,50.000000,0.092140,0.050000
0.700000,75.000000,0.177268,0.050000
0.800000,25.000000,-0.182211,0.050000
0.800000,50.000000,-0.065464,0.050000
0.800000,75.000000,0.007407,0.050000
0.900000,25.000000,-0.175232,0.050000
0.900000,50.000000,-0.258860,0.050000
0.900000,75.000000,-0.213227,0.050000
1.000000,25.000000,-0.162891,0.050000
1.000000,50.000000,-0.261686,0.050000
1.000000,75.000000,-0.375698,0.050000
1.100000,25.000000,-0.050230,0.050000
1.100000,50.000000,-0.293240,0.050000
1.100000,75.000000,-0.505723,0.050000
1.200000,25.000000,-0.092832,0.050000
1.200000,50.000000,-0.289297,0.050000
1.200000,75.000000,-0.423619,0.050000
1.300000,25.000000,-0.032350,0.050000
1.300000,50.000000,-0.178773,0.050000
1.300000,75.000000,-0.220182,0.050000
1.400000,25.000000,0.163577,0.050000
1.400000,50.000000,0.070809,0.050000
1.400000,75.000000,0.009512,0.050000
1.500000,25.000000,0.144271,0.050000
1.500000,50.000000,0.320931,0.050000
1.500000,75.000000,0.318928,0.050000
1.600000,25.000000,0.085779,0.050000
1.600000,50.000000,0.286301,0.050000
1.600000,75.000000,0.496170,0.050000
1.700000,25.000000,-0.048401,0.050000
1.700000,50.000000,0.233461,0.050000
1.700000,75.000000,0.513277,0.050000
1.800000,25.000000,-0.107574,0.050000
1.800000,50.000000,0.192054,0.050000
1.800000,75.000000,0.323090,0.050000
1.900000,25.000000,0.015067,0.050000
1.900000,50.000000,0.002680,0.050000
1.900000,75.000000,-0.003541,0.050000
2.000000,25.000000,-0.158830,0.050000
2.000000,50.000000,-0.183446,0.050000
2.000000,75.000000,-0.260920,0.050000
2.100000,25.000000,-0.229176,0.050000
2.100000,50.000000,-0.446688,0.050000
2.100000,75.000000,-0.534434,0.050000
2.200000,25.000000,-0.124117,0.050000
2.200000,50.000000,-0.483199,0.050000
2.200000,75.000000,-0.606478,0.050000
2.300000,25.000000,-0.098112,0.050000
2.300000,50.000000,-0.270224,0.050000
2.300000,75.000000,-0.516348,0.050000
2.400000,25.000000,0.056189,0.050000
2.400000,50.000000,-0.177187,0.050000
2.400000,75.000000,-0.299896,0.050000
2.500000,25.000000,0.005930,0.050000
2.500000,50.000000,0.017628,0.050000
2.500000,75.000000,0.075857,0.050000
2.600000,25.000000,0.017966,0.050000
2.600000,50.000000,0.233508,0.050000
2.600000,75.000000,0.381463,0.050000
2.700000,25.000000,0.150284,0.050000
2.700000,50.000000,0.325285,0.050000
2.700000,75.000000,0.474974,0.050000
2.800000,25.000000,0.050442,0.050000
2.800000,50.000000,0.374972,0.050000
2.800000,75.000000,0.510174,0.050000
2.900000,25.000000,-0.004042,0.050000
2.900000,50.000000,0.137100,0.050000
2.900000,75.000000,0.330420,0.050000
3.000000,25.000000,-0.022219,0.050000
3.000000,50.000000,-0.049331,0.050000
3.000000,75.000000,0.023893,0.050000
3.100000,25.000000,-0.049116,0.050000
3.100000,50.000000,-0.084925,0.050000
3.100000,75.000000,-0.210199,0.050000
3.200000,25.000000,0.085366,0.050000
3.200000,50.000000,-0.214229,0.050000
3.200000,75.000000,-0.473570,0.050000
3.300000,25.000000,-0.001717,0.050000
3.300000,50.000000,-0.233849,0.050000
3.300000,75.000000,-0.374295,0.050000
3.400000,25.000000,0.016329,0.050000
3.400000,50.000000,-0.144829,0.050000
3.400000,75.000000,-0.276518,0.050000
3.500000,25.000000,0.089397,0.050000
3.500000,50.000000,-0.000632,0.050000
3.500000,75.000000,-0.002100,0.050000
3.600000,25.000000,0.023942,0.050000
3.600000,50.000000,0.187041,0.050000
3.600000,75.000000,0.262718,0.050000
3.700000,25.000000,0.155608,0.050000
3.700000,50.000000,0.259763,0.050000
3.700000,75.000000,0.381734,0.050000
3.800000,25.000000,0.036800,0.050000
3.800000,50.000000,0.291568,0.050000
3.800000,75.000000,0.467471,0.050000
3.900000,25.000000,0.085721,0.050000
3.900000,50.000000,0.213992,0.050000
3.900000,75.000000,0.327057,0.050000
4.000000,25.000000,0.100774,0.050000
