time,index,value,std
0.100000,50.000000,0.000000,0.050000
0.200000,50.000000,0.072801,0.050000
0.300000,50.000000,0.129540,0.050000
0.400000,50.000000,0.177748,0.050000
0.500000,50.000000,0.141009,0.050000
0.600000,50.000000,0.155835,0.050000
0.700000,50.000000,0.092140,0.050000
0.800000,50.000000,-0.065464,0.050000
0.900000,50.000000,-0.258860,0.050000
1.000000,50.000000,-0.261686,0.050000
1.100000,50.000000,-0.293240,0.050000
1.200000,50.000000,-0.289297,0.050000
1.300000,50.000000,-0.178773,0.050000
1.400000,50.000000,0.070809,0.050000
1.500000,50.000000,0.320931,0.050000
1.600000,50.000000,0.286301,0.050000
1.700000,50.000000,0.233461,0.050000
1.800000,50.000000,0.192054,0.050000
1.900000,50.000000,0.002680,0.050000
2.000000,50.000000,-0.183446,0.050000
2.100000,50.000000,-0.446688,0.050000
2.200000,50.000000,-0.483199,0.050000
2.300000,50.000000,-0.270224,0.050000
2.400000,50.000000,-0.177187,0.050000
2.500000,50.000000,0.017628,0.050000
2.600000,50.000000,0.233508,0.050000
2.700000,50.000000,0.325285,0.050000
2.800000,50.000000,0.374972,0.050000
2.900000,50.000000,0.137100,0.050000
3.000000,50.000000,-0.049331,0.050000
3.100000,50.000000,-0.084925,0.050000
3.200000,50.000000,-0.214229,0.050000
3.300000,50.000000,-0.233849,0.050000
3.400000,50.000000,-0.144829,0.050000
3.500000,50.000000,-0.000632,0.050000
3.600000,50.000000,0.187041,0.050000
3.700000,50.000000,0.259763,0.050000
3.800000,50.000000,0.291568,0.050000
3.900000,50.000000,0.213992,0.050000
4.000000,50.000000,0.080771,0.050000
4.100000,50.000000,0.078082,0.050000
4.200000,50.000000,-0.082688,0.050000
4.300000,50.000000,-0.083819,0.050000
4.400000,50.000000,-0.027015,0.050000
4.500000,50.000000,0.118606,0.050000
4.600000,50.000000,0.199082,0.050000
4.700000,50.000000,0.164227,0.050000
4.800000,50.000000,0.197281,0.050000
4.900000,50.000000,0.157618,0.050000
5.000000,50.000000,0.044667,0.050000
5.100000,50.000000,-0.074322,0.050000
5.200000,50.000000,-0.079130,0.050000
5.300000,50.000000,-0.023364,0.050000
5.400000,50.000000,0.073666,0.050000
5.500000,50.000000,0.079096,0.050000
5.600000,50.000000,0.121994,0.050000
5.700000,50.000000,0.170409,0.050000
5.800000,50.000000,0.165416,0.050000
5.900000,50.000000,-0.036073,0.050000
6.000000,50.000000,-0.161197,0.050000
6.100000,50.000000,-0.203400,0.050000
6.200000,50.000000,-0.088938,0.050000
6.300000,50.000000,-0.164405,0.050000
6.400000,50.000000,-0.050726,0.050000
6.500000,50.000000,0.012753,0.050000
6.600000,50.000000,0.243874,0.050000
6.700000,50.000000,0.240511,0.050000
6.800000,50.000000,0.084389,0.050000
6.900000,50.000000,-0.073420,0.050000
7.000000,50.000000,-0.145340,0.050000
7.100000,50.000000,-0.229199,0.050000
7.200000,50.000000,-0.281013,0.050000
7.300000,50.000000,-0.247004,0.050000
7.400000,50.000000,-0.153916,0.050000
7.500000,50.000000,0.100256,0.050000
7.600000,50.000000,0.210272,0.050000
7.700000,50.000000,0.203265,0.050000
7.800000,50.000000,0.092646,0.050000
7.900000,50.000000,0.041516,0.050000
8.000000,50.000000,0.009997,0.050000
8.100000,50.000000,-0.218971,0.050000
8.200000,50.000000,-0.295739,0.050000
8.300000,50.000000,-0.183117,0.050000
8.400000,50.000000,0.031985,0.050000
8.500000,50.000000,0.100561,0.050000
8.600000,50.000000,0.140820,0.050000
8.700000,50.000000,0.192246,0.050000
8.800000,50.000000,0.208629,0.050000
8.900000,50.000000,-0.003142,0.050000
9.000000,50.000000,-0.184934,0.050000
9.100000,50.000000,-0.358173,0.050000
9.200000,50.000000,-0.339167,0.050000
9.300000,50.000000,-0.230826,0.050000
9.400000,50.000000,-0.215091,0.050000
9.500000,50.000000,-0.123268,0.050000
9.600000,50.000000,0.070597,0.050000
9.700000,50.000000,0.182351,0.050000
9.800000,50.000000,0.152928,0.050000
9.900000,50.000000,-0.029696,0.050000
10.000000,50.000000,-0.117564,0.050000
