time,index,value,std
0.02,11,0,0.1
0.02,26,0,0.1
0.02,36,0,0.1
0.12,11,0.095351,0.1
0.12,26,0,0.1
0.12,36,0,0.1
0.22,11,0.87058,0.1
0.22,26,0.00020553,0.1
0.22,36,2.6042e-09,0.1
0.32,11,1.256,0.1
0.32,26,0.026269,0.1
0.32,36,2.7494e-05,0.1
0.42,11,0.88062,0.1
0.42,26,0.27643,0.1
0.42,36,0.0037142,0.1
0.52,11,0.71099,0.1
0.52,26,0.79366,0.1
0.52,36,0.065245,0.1
0.62,11,1.1172,0.1
0.62,26,1.0467,0.1
0.62,36,0.33417,0.1
0.72,11,1.2889,0.1
0.72,26,0.90545,0.1
0.72,36,0.75299,0.1
0.82,11,0.8828,0.1
0.82,26,0.86516,0.1
0.82,36,0.96565,0.1
0.92,11,0.71109,0.1
0.92,26,1.0778,0.1
0.92,36,0.91421,0.1
1.02,11,1.1172,0.1
1.02,26,1.1326,0.1
1.02,36,0.91672,0.1
1.12,11,1.2889,0.1
1.12,26,0.922,0.1
1.12,36,1.0557,0.1
1.22,11,0.8828,0.1
1.22,26,0.86734,0.1
1.22,36,1.0776,0.1
1.32,11,0.71109,0.1
1.32,26,1.078,0.1
1.32,36,0.94345,0.1
1.42,11,1.1172,0.1
1.42,26,1.1327,0.1
1.42,36,0.92228,0.1
1.52,11,1.2889,0.1
1.52,26,0.922,0.1
1.52,36,1.0565,0.1
1.62,11,0.8828,0.1
1.62,26,0.86734,0.1
1.62,36,1.0777,0.1
1.72,11,0.71109,0.1
1.72,26,1.078,0.1
1.72,36,0.94346,0.1
1.82,11,1.1172,0.1
1.82,26,1.1327,0.1
1.82,36,0.92228,0.1
1.92,11,1.2889,0.1
1.92,26,0.922,0.1
1.92,36,1.0565,0.1
2.02,11,0.8828,0.1
2.02,26,0.86734,0.1
2.02,36,1.0777,0.1
2.12,11,0.71109,0.1
2.12,26,1.078,0.1
2.12,36,0.94346,0.1
2.22,11,1.1172,0.1
2.22,26,1.1327,0.1
2.22,36,0.92228,0.1
2.32,11,1.2889,0.1
2.32,26,0.922,0.1
2.32,36,1.0565,0.1
2.42,11,0.8828,0.1
2.42,26,0.86734,0.1
2.42,36,1.0777,0.1
2.52,11,0.71109,0.1
2.52,26,1.078,0.1
2.52,36,0.94346,0.1
2.62,11,1.1172,0.1
2.62,26,1.1327,0.1
2.62,36,0.92228,0.1
2.72,11,1.2889,0.1
2.72,26,0.922,0.1
2.72,36,1.0565,0.1
2.82,11,0.8828,0.1
2.82,26,0.86734,0.1
2.82,36,1.0777,0.1
2.92,11,0.71109,0.1
2.92,26,1.078,0.1
2.92,36,0.94346,0.1
