time,index,value,std
0.0,9.0,1.50887,0.1
0.1,9.0,-0.26470935152747094,0.1
0.2,9.0,-1.0452504233062487,0.1
0.3,9.0,-2.199598000809167,0.1
0.4,9.0,-4.894227202491621,0.1
0.5,9.0,-10.767528621155154,0.1
0.6,9.0,-16.041026178725748,0.1
0.7,9.0,-9.180079165106001,0.1
0.8,9.0,-1.6830813834165683,0.1
0.9,9.0,1.1683968916863126,0.1
1.0,9.0,2.6868598676929043,0.1
1.1,9.0,5.092411684619948,0.1
1.2,9.0,9.746670210583972,0.1
1.3,9.0,14.316741847886645,0.1
1.4,9.0,10.497836427411645,0.1
1.5,9.0,4.09196694520837,0.1
1.6,9.0,1.4239772661503232,0.1
1.7,9.0,0.9730013616395261,0.1
1.8,9.0,1.5143958438819851,0.1
1.9,9.0,3.1823135468051786,0.1
2.0,9.0,7.266281612218627,0.1
2.1,9.0,14.361860838277785,0.1
2.2,9.0,14.029361377709176,0.1
2.3,9.0,4.73766857729685,0.1
2.4,9.0,-0.21407798942079528,0.1
2.5,9.0,-2.091651034347971,0.1
2.6,9.0,-3.934512913192146,0.1
2.7,9.0,-7.4929326113818515,0.1
2.8,9.0,-12.826352379231338,0.1
2.9,9.0,-13.09414042203179,0.1
3.0,9.0,-6.547404998678991,0.1
3.1,9.0,-2.379890151687933,0.1
3.2,9.0,-1.292125698465082,0.1
3.3,9.0,-1.6386804905936863,0.1
3.4,9.0,-3.170254856161123,0.1
3.5,9.0,-6.924469414111114,0.1
3.6,9.0,-13.566049527717565,0.1
3.7,9.0,-14.334935202261772,0.1
3.8,9.0,-5.7244932624309,0.1
3.9,9.0,-0.5754077166662125,0.1
4.0,9.0,1.2231157301270434,0.1
4.1,9.0,2.5544657613318997,0.1
4.2,9.0,5.115511263464981,0.1
4.3,9.0,10.266847668201605,0.1
4.4,9.0,14.957414510161763,0.1
4.5,9.0,9.880904579855688,0.1
4.6,9.0,3.135566284236821,0.1
4.7,9.0,0.5109705493048241,0.1
4.8,9.0,-0.24040524418767129,0.1
4.9,9.0,-0.684277161354851,0.1
5.0,9.0,-1.546062435896202,0.1
5.1,9.0,-3.7308592706469486,0.1
5.2,9.0,-9.095601583297917,0.1
5.3,9.0,-16.565286678454687,0.1
5.4,9.0,-11.396793965718265,0.1
5.5,9.0,-1.865754352127158,0.1
5.6,9.0,2.0492228537915964,0.1
5.7,9.0,4.07043706204984,0.1
5.8,9.0,6.945322491347177,0.1
5.9,9.0,11.234727285256144,0.1
6.0,9.0,12.81210321208387,0.1
6.1,9.0,8.33783974741735,0.1
