time,index,value,std
0.1,0.0,0.023841220174010865,1.0
0.2,0.0,0.011408993532758458,1.0
0.3,0.0,-0.009397686735238543,1.0
0.4,0.0,0.009130121060631768,1.0
0.5,0.0,-0.04156487612438534,1.0
0.6,0.0,-0.03898378847416393,1.0
0.7,0.0,-0.03525795273633467,1.0
0.8,0.0,-0.03461059605431743,1.0
0.9,0.0,-0.03307570830420682,1.0
1.0,0.0,-0.05551701498442875,1.0
1.1,0.0,0.02423530644266415,1.0
1.2,0.0,-0.013165334066287353,1.0
1.3,0.0,-9.7936530523337E-4,1.0
1.4,0.0,4.220884858408161E-4,1.0
1.5,0.0,-0.019539714017683202,1.0
1.6,0.0,0.0011661877472586993,1.0
1.7,0.0,0.002414724139173436,1.0
1.8,0.0,0.005227847314396976,1.0
1.9,0.0,0.016607147238818735,1.0
2.0,0.0,0.019093895030291776,1.0
2.1,0.0,0.027990863294783425,1.0
2.2,0.0,0.004547011020946869,1.0
2.3,0.0,0.027442030173749864,1.0
2.4,0.0,0.017041455208046546,1.0
2.5,0.0,-0.027241751231869418,1.0
2.6,0.0,0.044991482278457645,1.0
2.7,0.0,0.06108542312349146,1.0
2.8,0.0,0.03273278726469476,1.0
2.9,0.0,0.010579440935073466,1.0
3.0,0.0,-0.010088111288906968,1.0
